"district.number","district.name","province","year","WinningParty","LiberalVotes","ConservativeVotes","NDPVotes","BlocVotes","GreenVotes","PeoplesVotes","IndependentVotes","votes"
35018,"Davenport","ON","2015","Liberal",21947,5233,20506,0,1530,0,107,49584
35019,"Don Valley East","ON","2015","Liberal",24048,12155,4307,0,1078,0,0,41588
35020,"Don Valley North","ON","2015","Liberal",23494,17279,3896,0,1018,0,0,45687
35021,"Don Valley West","ON","2015","Liberal",27472,19206,3076,0,848,0,75,51086
35022,"Dufferin--Caledon","ON","2015","Conservative",23643,27977,4398,0,4433,0,0,60451
35023,"Durham","ON","2015","Conservative",22949,28967,10289,0,1616,0,0,64185
35024,"Eglinton--Lawrence","ON","2015","Liberal",27278,23788,3505,0,799,0,0,55792
35025,"Elgin--Middlesex--London","ON","2015","Conservative",17642,28023,8771,0,1783,0,0,56933
35026,"Essex","ON","2015","NDP",12639,21602,25072,0,1141,0,0,60531
35027,"Etobicoke Centre","ON","2015","Liberal",32612,23070,4886,0,856,0,0,61802
35028,"Etobicoke--Lakeshore","ON","2015","Liberal",34638,20932,7030,0,1507,0,0,64508
35029,"Etobicoke North","ON","2015","Liberal",26251,9673,5220,0,524,0,0,42064
35030,"Flamborough--Glanbrook","ON","2015","Conservative",21728,24137,7779,0,1866,0,0,55510
35031,"Glengarry--Prescott--Russell","ON","2015","Liberal",34189,23367,5087,0,1153,0,0,64173
35032,"Guelph","ON","2015","Liberal",34303,18407,8392,0,7909,0,0,69868
35033,"Haldimand--Norfolk","ON","2015","Conservative",20487,24714,7625,0,1857,0,423,55990
35034,"Haliburton--Kawartha Lakes--Brock","ON","2015","Conservative",19634,27718,12012,0,2470,0,0,61834
35035,"Hamilton Centre","ON","2015","NDP",13718,6018,18719,0,1778,0,186,41083
35036,"Hamilton East--Stoney Creek","ON","2015","Liberal",19622,12715,16465,0,1305,0,0,50332
35037,"Hamilton Mountain","ON","2015","NDP",16933,12991,18146,0,1283,0,0,50554
35038,"Hamilton West--Ancaster--Dundas","ON","2015","Liberal",29694,19821,10131,0,2633,0,0,62279
35039,"Hastings--Lennox and Addington","ON","2015","Liberal",21104,20879,6348,0,1466,0,0,49797
35040,"Huron--Bruce","ON","2015","Conservative",23129,26174,7544,0,1398,0,0,58245
35041,"Kanata--Carleton","ON","2015","Liberal",32477,24829,4313,0,1704,0,0,63323
35042,"Kenora","ON","2015","Liberal",10918,8751,10420,0,501,0,162,30752
35043,"King--Vaughan","ON","2015","Liberal",25908,24170,3571,0,1037,0,0,54686
35044,"Kingston and the Islands","ON","2015","Liberal",36421,14928,11185,0,2933,0,0,65772
35045,"Kitchener Centre","ON","2015","Liberal",25504,15872,8680,0,1597,0,0,52280
35046,"Kitchener--Conestoga","ON","2015","Conservative",20398,20649,4653,0,1314,0,0,47699
